Image Name,Xs Positions (True),Xs Positions (Output),Os Positions (True),Os Positions (Output)
IMG_20220614_014503_jpg.rf.5cd235249170cae2c0cab58d122973f6.jpg,"[1, 3, 5, 7]","[5, 7, 8, 9]","[2, 4, 9]",[]
IMG_20220613_231044_jpg.rf.3e65e423a1aeeac01799266804bd2209.jpg,"[4, 5, 9]","[4, 5, 9]","[6, 7, 8]","[6, 7, 8]"
IMG_20220614_014217_jpg.rf.3aeed921874a3a32c9ef3df89a4c224a.jpg,"[1, 2, 4, 8]","[1, 2, 4, 8]","[5, 7, 9]","[5, 7, 9]"
IMG_20220614_014503_jpg.rf.6a3cb19e5be12d7fb581e94019a09dba.jpg,"[1, 3, 5, 9]","[5, 7, 8, 9]","[2, 6, 7]",[]
IMG_20220613_231016_jpg.rf.3db1dd2f794388b38c74207c57c72448.jpg,[],[],"[1, 2]","[1, 2]"
IMG_20220613_231101_jpg.rf.9929e521abcac8fa0053b8e7223105ca.jpg,"[2, 4, 5, 9]","[2, 4, 5, 9]","[1, 6, 7, 8]","[1, 6, 7, 8]"
IMG_20220614_014200_jpg.rf.28a2627c244d02c9d3c9775766d27814.jpg,"[6, 9]","[6, 9]","[1, 3]","[1, 3]"
IMG_20220613_231101_jpg.rf.bfeb35c5c33ca19bd2ca9232bb73377a.jpg,"[3, 4, 5, 8]","[3, 4, 5, 8]","[1, 2, 6, 7]","[1, 2, 6, 7]"
IMG_20220614_014432_jpg.rf.14be1c935aa9a67b4a1b9fb544d6552e.jpg,"[3, 5]","[3, 5]",[2],[2]
IMG_20220614_014205_jpg.rf.274e7f97b05942babfcd67b69b79a75d.jpg,"[3, 6, 8]","[3, 6, 8]","[7, 9]","[7, 9]"
IMG_20220613_231029_jpg.rf.7d709f89d46880f8c1798532006a7472.jpg,"[6, 7]","[6, 7]","[8, 9]","[8, 9]"
IMG_20220614_014228_jpg.rf.8c9326d8106787aa1a69e840ecdd6477.jpg,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[3, 5, 7, 9]","[3, 5, 7, 9]"
IMG_20220613_231107_jpg.rf.9b86f27733798c283829ea0c9577e769.jpg,"[3, 4, 5, 8]","[3, 4, 5, 8]","[1, 2, 6, 7, 9]","[1, 2, 6, 7, 9]"
IMG_20220613_231245_jpg.rf.0333e33c879faa9f678b01e25ea90853.jpg,[9],[9],[5],[5]
IMG_20220614_014228_jpg.rf.0e39a34a1abe2eb9a5370ff6732760ad.jpg,"[2, 4, 6, 7, 8]","[2, 4, 6, 7, 8]","[1, 3, 5, 9]","[1, 3, 5, 9]"
IMG_20220613_231218_jpg.rf.f0c9cabc1b05c7ca5d7020c556fe8de8.jpg,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
IMG_20220614_014150_jpg.rf.bd9b662d99b9c498729fb0f56d0ef1ef.jpg,[1],[1],[9],[9]
IMG_20220613_231005_jpg.rf.34311712876f4c5ea857e8949f64dfad.jpg,[],[],[1],[1]
RMSE,,0.1250,,0.6614
